"","UniqueID","NEAR_DIST"
"1","OD_1_01159200",46585.67801
"2","OD_1_01159400",46371.49649
"3","OD_1_01159100",45555.78749
"4","OD_1_01161700",44889.25523
"5","OD_1_01161600",45165.4719
"6","OD_1_01160800",45148.17219
"7","OD_1_01161800",44416.73259
"8","OD_1_01159500",45248.4419
"9","OD_1_01159300",44978.77086
"10","OD_1_01159600",45304.90666
"11","OD_1_01160600",45021.33622
"12","OD_1_01160900",44485.30665
"13","OD_1_01161500",44380.76727
"14","OD_1_01160400",44816.41314
"15","OD_1_01160500",44600.86248
"16","OD_1_01161400",44262.53935
"17","OD_1_01159700",44571.30259
"18","OD_1_01161300",43414.13774
"19","OD_1_01160300",44201.50939
"20","OD_1_01162000",43334.88845
"21","OD_1_01161000",43766.32794
"22","OD_1_01159800",43922.45641
"23","OD_1_01160200",43631.86659
"24","OD_1_01162400",41788.93831
"25","OD_1_01162100",42307.24338
"26","OD_1_01159900",43448.00743
"27","OD_1_01160100",43088.45878
"28","OD_1_01161100",42878.02301
"29","OD_1_01160000",43110.43066
"30","OD_1_01161200",42266.01075
"31","OD_1_01162800",40871.81143
"32","OD_1_01162200",41717.69907
"33","OD_1_01162900",40877.66218
"34","OD_1_01163300",41373.42267
"35","OD_1_01162500",40477.67111
"36","OD_1_01162700",40593.68255
"37","OD_1_01163000",41490.91977
"38","OD_1_01162300",40945.22612
"39","OD_1_01162600",39097.22581
"40","OD_1_01164100",38688.50649
"41","OD_1_01163200",39921.12515
"42","OD_1_01163700",38290.34592
"43","OD_1_01163100",40376.46229
"44","OD_1_01164200",37551.66226
"45","OD_1_01163600",37178.02144
"46","OD_1_01163500",38020.09708
"47","OD_1_01163900",36909.70359
"48","OD_1_01163800",36660.88728
"49","OD_1_01164000",36401.52333
"50","OD_1_01164400",35827.11531
"51","OD_1_01164700",35192.12816
"52","OD_1_01165600",35487.34609
"53","OD_1_01164500",34962.87079
"54","OD_1_01163400",37063.57628
"55","OD_1_01164600",34602.0837
"56","OD_1_00976800",36712.18063
"57","OD_1_01165500",34048.4084
"58","OD_1_01164900",34055.9266
"59","OD_1_00977100",35365.47423
"60","OD_1_01165300",33545.856
"61","OD_1_01166800",32684.14318
"62","OD_1_01166900",33578.87068
"63","OD_1_01165700",32304.51241
"64","OD_1_01165000",33502.0559
"65","OD_1_01164800",33512.73182
"66","OD_1_01165200",32827.73612
"67","OD_1_01165100",32882.3036
"68","OD_1_01166100",32961.95126
"69","OD_1_01166200",32419.61125
"70","OD_1_01165400",32895.04077
"71","OD_1_00977300",33578.21877
"72","OD_1_01166700",32143.82248
"73","OD_1_00977400",32394.57276
"74","OD_1_01166400",32316.34191
"75","OD_1_01167400",31395.41158
"76","OD_1_01166000",32125.8637
"77","OD_1_01166500",31964.15476
"78","OD_1_01167700",31431.09291
"79","OD_1_01166300",31692.88565
"80","OD_1_01166600",31550.46412
"81","OD_1_01167600",31162.08395
"82","OD_1_01167500",31125.43687
"83","OD_1_00977500",31695.89745
"84","OD_1_01168800",30908.51418
"85","OD_1_01167800",30704.91633
"86","OD_1_40801000",27687.45282
"87","OD_1_01168000",30583.02928
"88","OD_1_01168200",30991.95718
"89","OD_1_01168600",30544.31923
"90","OD_1_01165900",30894.52709
"91","OD_1_01168300",30783.6099
"92","OD_1_01168700",30521.4564
"93","OD_1_01168900",30434.45228
"94","OD_1_01169000",30281.60816
"95","OD_1_01168400",30270.93224
"96","OD_1_01168100",30145.33348
"97","OD_1_01169500",29940.05853
"98","OD_1_01165800",30457.77281
"99","OD_1_01169400",29794.20037
"100","OD_1_01169300",29672.18182
"101","OD_1_01167900",30029.34466
"102","OD_1_01168500",29707.07617
"103","OD_1_01170600",30000.79823
"104","OD_1_01169600",29175.65295
"105","OD_1_01170800",29289.71855
"106","OD_1_01170700",29354.26445
"107","OD_1_01170900",28894.16933
"108","OD_1_01170200",28460.25188
"109","OD_1_01170100",28410.16691
"110","OD_1_01170000",28150.8031
"111","OD_1_01171000",29089.66125
"112","OD_1_01170300",27903.1445
"113","OD_1_01175100",28398.64201
"114","OD_1_01171600",26914.99569
"115","OD_1_01171100",28154.35208
"116","OD_1_01170400",27475.36234
"117","OD_1_01171300",27973.18671
"118","OD_1_01171900",27373.44854
"119","OD_1_01175000",26429.60093
"120","OD_1_01171400",27905.30703
"121","OD_1_01171500",27867.66126
"122","OD_1_01172100",26258.57228
"123","OD_1_01170500",27005.41164
"124","OD_1_01171800",26571.09013
"125","OD_1_01175200",26966.79299
"126","OD_1_01185400",23305.71938
"127","OD_1_01172500",25648.74208
"128","OD_1_01184600",24813.47071
"129","OD_1_01171700",25798.88385
"130","OD_1_01174500",26203.97385
"131","OD_1_01173200",25059.73086
"132","OD_1_01173100",25623.24471
"133","OD_1_01174400",25726.48057
"134","OD_1_01172600",25036.54056
"135","OD_1_01174600",25954.78878
"136","OD_1_01173000",25392.07496
"137","OD_1_01172900",25192.5555
"138","OD_1_01175900",26170.66997
"139","OD_1_01176000",25431.31386
"140","OD_1_01174700",25651.07964
"141","OD_1_01184800",24087.32345
"142","OD_1_01174200",24479.90512
"143","OD_1_01174800",25508.11276
"144","OD_1_01172800",24680.31875
"145","OD_1_01174300",25246.25228
"146","OD_1_01185200",23608.46891
"147","OD_1_01257000",27387.88135
"148","OD_1_01174900",24481.89634
"149","OD_1_01185300",22523.78992
"150","OD_1_01173900",24241.03588
"151","OD_1_01256900",27320.66726
"152","OD_1_01175800",25578.32064
"153","OD_1_01185100",23676.88644
"154","OD_1_01176300",23542.52268
